lat	lon	title	description	icon	iconSize	iconOffset
47.43051	9.55439	100	Berg	marker_red.png	20,24	0,0
47.43045	9.55342	101	Berg	marker_red.png	20,24	0,0
47.43047	9.5526	102	Berg	marker_red.png	20,24	0,0
47.43038	9.55209	103	Berg	marker_red.png	20,24	0,0
47.43035	9.55162	104	Berg	marker_red.png	20,24	0,0
47.43002	9.55149	105	Berg	marker_red.png	20,24	0,0
47.43042	9.55117	106	Berg	marker_red.png	20,24	0,10
47.43053	9.55083	107	Berg	marker_red.png	20,24	0,10
47.43096	9.54989	108	Berg	marker_red.png	20,24	0,10
47.43064	9.54792	109	March	marker_red.png	20,24	0,10
47.43059	9.54763	110	March	marker_red.png	20,24	0,10
47.43144	9.54197	111	Laderenweid	marker_red.png	20,24	0,-10
47.4304	9.54149	112	Laderenweid	marker_red.png	20,24	0,-10
47.4315	9.54169	113	Laderenweid	marker_red.png	20,24	0,-10
47.42887	9.54329	114	Hinterladern	marker_red.png	20,24	0,-10
47.42795	9.54308	115	Hinterladern	marker_red.png	20,24	0,-10
47.42559	9.54264	116	Laderen	marker_red.png	20,24	0,-10
47.42556	9.54293	117	Laderen	marker_red.png	20,24	0,-10
47.4255	9.54343	118	Laderen	marker_red.png	20,24	0,-10
47.42549	9.54391	119	Laderen	marker_red.png	20,24	0,-10
47.42558	9.54465	120	Laderen	marker_red.png	20,24	0,-10
47.425	9.54506	121	Laderen	marker_red.png	20,24	0,-10
47.42304	9.54513	122	Vorderladern	marker_red.png	20,24	0,-10
47.42259	9.54557	123	Vorderladern	marker_red.png	20,24	0,-10
47.42228	9.54734	124	Vorderladern	marker_red.png	20,24	0,-10
47.42274	9.54811	125	Vorderladern	marker_red.png	20,24	0,-10
47.42254	9.54809	126	Vorderladern	marker_red.png	20,24	0,-10
47.4188	9.54681	200	Moos	marker_red.png	20,24	0,-10
47.41868	9.54643	201	Moos	marker_red.png	20,24	0,-10
47.41874	9.54526	202	Moos	marker_red.png	20,24	0,-10
47.41778	9.54528	203	Moos	marker_red.png	20,24	0,-10
47.42433	9.55513	204	Städeli	marker_red.png	20,24	0,-10
47.42431	9.55489	205	Städeli	marker_red.png	20,24	0,-10
47.42546	9.55589	206	Städeli	marker_red.png	20,24	0,-10
47.42509	9.55627	207	Städeli	marker_red.png	20,24	0,-10
47.42502	9.5556	208	Städeli	marker_red.png	20,24	0,-10
47.42513	9.55663	209	Städeli	marker_red.png	20,24	0,-10
47.42524	9.55693	210	Städeli	marker_red.png	20,24	0,-10
47.42529	9.55676	212	Städeli	marker_red.png	20,24	0,-10
47.42538	9.55642	213	Städeli	marker_red.png	20,24	0,-10
47.42543	9.55626	214	Städeli	marker_red.png	20,24	0,-10
47.42439	9.55475	215	Säge	marker_red.png	20,24	0,-10
47.42052	9.55898	216	Säge	marker_red.png	20,24	0,-10
47.42065	9.5593	217	Säge	marker_red.png	20,24	0,-10
47.42062	9.55942	218	Säge	marker_red.png	20,24	0,-10
47.41947	9.55231	219	Sönderli	marker_red.png	20,24	0,-10
47.4187	9.5575	220	Säge	marker_red.png	20,24	0,-10
47.41875	9.5577	221	Säge	marker_red.png	20,24	0,-10
47.41883	9.55786	222	Säge	marker_red.png	20,24	0,-10
47.4188	9.55823	223	Säge	marker_red.png	20,24	0,-10
47.41885	9.5585	224	Säge	marker_red.png	20,24	0,-10
47.42603	9.5622	301	Schachen	marker_red.png	20,24	0,-10
47.42601	9.56261	302	Schachen	marker_red.png	20,24	0,-10
47.42604	9.56279	303	Schachen	marker_red.png	20,24	0,-10
47.42483	9.5668	304	Losenbühl	marker_red.png	20,24	0,-10
47.42471	9.56731	305	Losenbühl	marker_red.png	20,24	0,-10
47.42467	9.56765	306	Losenbühl	marker_red.png	20,24	0,-10
47.4247	9.5681	307	Losenbühl	marker_red.png	20,24	0,-10
47.42474	9.5687	308	Losenbühl	marker_red.png	20,24	0,-10
47.4254	9.56438	309	Schachen	marker_red.png	20,24	0,-10
47.42604	9.56677	310	Losenbühl	marker_red.png	20,24	0,-10
47.42591	9.56781	311	Losenbühl	marker_red.png	20,24	0,-10
47.42619	9.56905	312	Losenbühl	marker_red.png	20,24	0,-10
47.42608	9.56951	313	Losenbühl	marker_red.png	20,24	0,-10
47.43066	9.5792	314	Blatten	marker_red.png	20,24	0,-10
47.43071	9.57934	315	Blatten	marker_red.png	20,24	0,-10
47.42952	9.58908	316	Kellenberg	marker_red.png	20,24	0,-10
47.42941	9.58986	317	Kellenberg	marker_red.png	20,24	0,-10
47.42948	9.59037	318	Kellenberg	marker_red.png	20,24	0,-10
47.42257	9.56623	319	Rohnen	marker_red.png	20,24	0,-10
47.42325	9.5695	320	Gigershus	marker_red.png	20,24	0,-10
47.42312	9.56973	321	Gigershus	marker_red.png	20,24	0,-10
47.42305	9.57004	322	Gigershus	marker_red.png	20,24	0,-10
47.42301	9.57032	323	Gigershus	marker_red.png	20,24	0,-10
47.42318	9.57128	324	Gigershus	marker_red.png	20,24	0,-10
47.42303	9.57155	325	Gigershus	marker_red.png	20,24	0,-10
47.42307	9.57177	326	Gigershus	marker_red.png	20,24	0,-10
47.4234	9.57152	327	Gigershus	marker_red.png	20,24	0,-10
47.42176	9.56999	328	Gigershus	marker_red.png	20,24	0,-10
